FIPS,R_e,CRRI,region_type,DailyCasesAvg,DailyCasesPerCapita,Growth,04/13/2021,04/14/2021,04/15/2021,04/16/2021,04/17/2021,04/18/2021,04/19/2021,04/20/2021,04/21/2021,04/22/2021,04/23/2021,04/24/2021,04/25/2021,04/26/2021
01095,1.406196813648422,4.0,cbsa,9.0,0.93000186000372,2.0160332715954055,9.800630972458643,10.672485273146183,11.62189885790058,12.655771322835797,13.254517011879285,13.881589413772055,14.538328667867976,15.226138315635286,15.717261957376596,16.22422693895583,16.74754422752369,17.28774127162902,17.71084284694081,18.144299444358648
01123,0.8958350675953223,1.0,cbsa,2.0,0.4954542076448584,0,1.9457498713443373,1.8929712809182524,1.8416243131526073,1.7916701351906446,1.7678714967145082,1.744388974013365,1.72121836814183,1.6983555359288378,1.6834171731277239,1.668610204889443,1.6539334754962376,1.639385839395792,1.6286070941480697,1.6178992177259306
01015,1.044623457987474,2.0,cbsa,7.0,0.6161700629373708,1.0898444189932288,7.076817297298709,7.154477579906601,7.232990098659837,7.312364205912318,7.352815184698792,7.393489932657409,7.43438968764802,7.475515694378138,7.5031605807777435,7.530907699555059,7.558757428771291,7.586710147885734,7.607781279213273,7.628910932952602
01053,1.031156811063218,2.0,cbsa,1.0,0.2729779160865886,1.0622094791061696,1.0076998146681417,1.0154589164822072,1.0232777619422322,1.031156811063218,1.0351495059899793,1.039157660847381,1.0431813354971102,1.0472205900326417,1.049929068798506,1.0526445526378905,1.055367059668366,1.058096608054361,1.0601510490894341,1.0622094791061694
01081,1.1685648720169637,3.0,cbsa,11.0,0.6685223225680982,1.3661547130931624,11.436835956846744,11.891019700347512,12.36324015204613,12.8542135921866,13.11689728762118,13.384949084601011,13.658478683555543,13.937598026709423,14.129385422562333,14.323811896191595,14.520913762452409,14.720727835908145,14.873422902784142,15.027701844024788
01007,0.9805502423422433,2.0,cbsa,2.0,0.8930963650977941,0,1.9902033755502646,1.9804547380258337,1.9707538523717645,1.9611004846844866,1.9563151316416092,1.951541455513772,1.9467794278077075,1.9420290200996753,1.9388736722100248,1.9357234510307386,1.932578348232098,1.9294383554979189,1.9270886223320012,1.9247417507480227
01009,0.9805502423422433,2.0,cbsa,4.0,0.691730363504306,0,3.980406751100529,3.9609094760516674,3.941507704743529,3.9222009693689732,3.9126302632832184,3.903082911027544,3.893558855615415,3.8840580401993505,3.8777473444200496,3.8714469020614772,3.865156696464196,3.8588767109958377,3.8541772446640024,3.8494835014960453
01021,0.9805502423422433,2.0,cbsa,3.0,0.6752498424417034,0,2.985305063325397,2.9706821070387504,2.9561307785576467,2.94165072702673,2.9344726974624136,2.927312183270658,2.920169141711561,2.913043530149513,2.9083105083150373,2.903585176546108,2.898867522348147,2.8941575332468785,2.8906329334980017,2.887112626122034
01073,0.9805502423422433,2.0,cbsa,69.0,1.0477198427509176,0,68.66201645648412,68.32568846189126,67.99100790682587,67.65796672161478,67.49287204163552,67.32818021522513,67.16389025936591,67.00000119343879,66.89114169124586,66.78245906056048,66.67395301400738,66.5656232646782,66.48455747045404,66.40359040080678
01115,0.9805502423422433,2.0,cbsa,7.0,0.7820180534453481,0,6.9657118144259265,6.931591583090418,6.897638483301176,6.863851696395703,6.847102960745632,6.830395094298202,6.813727997326977,6.797101570348864,6.7860578527350865,6.775032078607585,6.7640242188123425,6.753034244242716,6.7448101781620045,6.736596127618079
01117,0.9805502423422433,2.0,cbsa,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01127,0.9805502423422433,2.0,cbsa,2.0,0.3148565041482344,0,1.9902033755502646,1.9804547380258337,1.9707538523717645,1.9611004846844866,1.9563151316416092,1.951541455513772,1.9467794278077075,1.9420290200996753,1.9388736722100248,1.9357234510307386,1.932578348232098,1.9294383554979189,1.9270886223320012,1.9247417507480227
01011,0.999141465088031,2.0,county,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01013,0.9144925011151575,2.0,county,1.0,0.5141916906622789,0,0.9779013307974799,0.9562910127754822,0.9351582540228139,0.9144925011151575,0.9045572671532661,0.8947299716094124,0.8850094418184999,0.8753945178555068,0.8690889825475637,0.8628288665045448,0.8566138425679258,0.8504435859357311,0.8458617344646155,0.8413045681851465
01019,0.9691522481694512,2.0,county,1.0,0.3817376698732631,0,0.9921972109003093,0.9844553053183528,0.9767738081928821,0.9691522481694512,0.9653934158492284,0.961649162064461,0.9579194302726703,0.9542041641506764,0.951741727521473,0.9492856455010427,0.9468359016905664,0.9443924797335442,0.9425664162300283,0.9407438835762285
01023,0.9946437756981068,2.0,county,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01025,0.9354286111604095,2.0,county,1.0,0.4233341800016933,0,0.9834508551280926,0.9671755844521767,0.951169655588506,0.9354286111604095,0.9277851980523445,0.9202042394846297,0.9126852251394851,0.9052276488689511,0.9003168481638261,0.8954326882308821,0.8905750245456748,0.885743713367796,0.882147261830721,0.878565413235178
01027,1.3856505337991387,4.0,county,1.0,0.7555723460521345,1.9531627476116762,1.0849592538313328,1.1771365824742424,1.2771452281788191,1.3856505337991387,1.4480978905242279,1.5133595732765723,1.5815624157830588,1.6528389678084885,1.703573052707553,1.7558644262600658,1.8097608896228823,1.8653117112149422,1.9087318688146886,1.9531627476116762
